player_name,birthday
Alfred Blue,4/27/1991
Damiere Byrd,1/27/1993
Tyler Conklin,7/30/1995
Gus Frerotte,7/31/1971
Greg Camarillo,4/18/1982
Jahvid Best,1/30/1989
Darnerien McCants,12/17/1976
Muhsin Muhammad,5/5/1973
Trent Sherfield,2/26/1996
Devin Hester,11/4/1982
Az-Zahir Hakim,6/3/1977
Terry McLaurin,9/15/1995
Tony Martin,9/5/1965
Corey Coleman,7/6/1994
Alexander Mattison,6/19/1998
Brad Johnson,9/13/1968
Jared Goff,10/14/1994
Evan Engram,9/2/1994
Shane Matthews,6/1/1970
Alec Pierce,5/2/2000
Jared Cook,4/7/1987
Kregg Lumpkin,5/15/1984
David Patten,8/19/1974
Najee Harris,3/9/1998
JaMarcus Russell,8/9/1985
Jason Witten,5/6/1982
Kevin Curtis,7/17/1978
Marcus Pollard,2/8/1972
Andrew Hawkins,3/10/1986
Trung Canidate,3/3/1977
Anthony Fasano,4/20/1984
Reggie Wayne,11/17/1978
Daunte Culpepper,1/28/1977
Greg Olsen,3/11/1985
Tucker Kraft,11/3/2000
Denarius Moore,12/9/1988
Allen Hurns,11/12/1991
Jarvis Landry,11/28/1992
Travis Etienne,1/26/1999
Mike Goodson,5/23/1987
Roscoe Parrish,7/16/1982
Mike Glennon,12/12/1989
Quincy Morgan,9/23/1977
Andrew Quarless,10/6/1988
Antowain Smith,3/14/1972
Marshall Faulk,2/26/1973
Ameer Abdullah,6/13/1993
Nelson Agholor,5/24/1993
Allen Lazard,12/11/1995
Raghib Ismail,11/18/1969
David Boston,8/19/1978
Will Levis,6/27/1999
CeeDee Lamb,4/8/1999
Plaxico Burress,8/12/1977
Marquez Callaway,3/27/1998
Josh Gordon,4/13/1991
Zay Jones,3/30/1995
David Gettis,8/27/1987
Troy Brown,7/2/1971
Scott Vines,4/17/1979
Kevin Faulk,6/5/1976
J.K. Dobbins,12/17/1998
Rashaad Penny,2/2/1996
David LaFleur,1/29/1974
Kenny Britt,9/19/1988
Lee Suggs,8/11/1980
Dameon Pierce,2/19/2000
Trent Taylor,4/30/1994
Jeff King,2/19/1983
Samie Parker,3/25/1981
Early Doucet,10/28/1985
Damian Williams,5/26/1988
Robbie Chosen,5/9/1993
Charlie Batch,12/5/1974
Hines Ward,3/8/1976
Dak Prescott,7/29/1993
Brian Finneran,1/31/1976
Stanley Pritchett,12/22/1973
Joseph Addai,5/3/1983
Clive Walford,10/1/1991
Justin McCareins,12/1/1978
Matt Breida,2/28/1995
Louis Murphy,5/11/1987
Dwayne Haskins,5/3/1997
Derick Armstrong,4/2/1979
Kerry Collins,12/30/1972
Danny Amendola,11/2/1985
Clyde Edwards-Helaire,4/11/1999
Martavis Bryant,12/20/1991
Ito Smith,9/11/1995
Olandis Gary,5/18/1975
Ronnie Brown,12/12/1981
Zach Zenner,9/13/1991
Mac Jones,9/5/1998
Bo Scaife,1/6/1981
Todd Gurley,8/3/1994
Daniel Fells,9/23/1983
Eric Moulds,7/17/1973
Qadry Ismail,11/8/1970
Brandon Stokley,6/23/1976
Jerome Pathon,12/16/1975
Toby Gerhart,3/28/1987
Brian Hoyer,10/13/1985
D.J. Hackett,7/3/1981
Jeremy Maclin,5/11/1988
Jaylen Waddle,11/25/1998
Bobby Rainey,10/16/1987
Cameron Meredith,9/21/1992
Jamel White,2/11/1977
Beanie Wells,8/7/1988
Jacquez Green,1/15/1976
Kenny Watson,3/13/1978
Rickey Dudley,7/15/1972
Roy Helu,12/7/1988
Laurence Maroney,2/5/1985
Reggie Bush,3/2/1985
Aaron Dobson,7/23/1991
Dontayvion Wicks,6/16/2001
Jakobi Meyers,11/9/1996
Donald Driver,2/2/1975
Dion Sims,2/18/1991
Jalen Guyton,6/7/1997
Tutu Atwell,10/7/1999
Kyle Orton,11/14/1982
Wayne Gallman,10/1/1994
Donnie Avery,6/12/1984
Matthew Stafford,2/7/1988
Michael Clayton,10/13/1982
Justin Armour,1/1/1973
Quentin Johnston,9/6/2001
LaRod Stephens-Howling,4/26/1987
Matt Cassel,5/17/1982
Dennis Pitta,6/29/1985
Austin Ekeler,5/17/1995
Jerick McKinnon,5/3/1992
Corey Davis,1/11/1995
Isaiah McKenzie,4/9/1995
Dontrelle Inman,1/31/1989
Ken Dilger,2/2/1971
Leonard Hankerson,1/30/1989
Troy Williamson,4/30/1983
Lance Moore,8/31/1983
Kenny Pickett,6/6/1998
Paul Perkins,11/16/1994
Evan Moore,1/3/1985
Kris Durham,3/17/1988
Justin Herbert,3/10/1998
Daryl Richardson,4/12/1990
Myles Gaskin,2/15/1997
Kenton Keith,7/14/1980
Cedric Houston,6/28/1982
Austin Seferian-Jenkins,9/29/1992
Taywan Taylor,3/2/1995
Branden Oliver,5/7/1991
Brandon Bolden,1/26/1990
Puka Nacua,5/29/2001
Marshawn Lynch,4/22/1986
Rachaad White,1/12/1999
Lance Ball,6/19/1985
Richard Rodgers,1/22/1992
Jed Weaver,8/11/1976
Duke Johnson,9/23/1993
Albert Okwuegbunam,4/25/1998
Eric Ebron,4/10/1993
Javonte Williams,4/25/2000
Stacey Mack,6/26/1975
Tiquan Underwood,2/17/1987
Hunter Henry,12/7/1994
Hayden Hurst,8/24/1993
Justin Blackmon,1/9/1990
Blake Bortles,4/28/1992
Eric Parker,4/14/1979
Chester Taylor,9/22/1979
Isaac Redman,11/10/1984
Zach Wilson,8/3/1999
Josh Adams,10/29/1996
LaDainian Tomlinson,6/23/1979
Brandon Myers,9/4/1985
Cleo Lemon,8/16/1979
Dominic Rhodes,1/17/1979
Sammie Stroughter,1/3/1986
D'Onta Foreman,4/24/1996
Bryan Edwards,11/13/1998
Javorius Allen,8/27/1991
Ezekiel Elliott,7/22/1995
Keyshawn Johnson,7/22/1972
Curtis Enis,6/15/1976
Dare Ogunbowale,5/4/1994
Brandon Lloyd,7/5/1981
Freddie Jones,9/16/1974
Kalif Raymond,8/8/1994
Brian Hartline,11/22/1986
Julius Jones,8/14/1981
Braxton Berrios,10/6/1995
Carson Wentz,12/30/1992
Chris Carson,9/16/1994
Freddie Mitchell,11/28/1978
Kaden Smith,4/24/1997
Rodney Peete,3/16/1966
Nick Goings,1/26/1978
Damien Harris,2/11/1997
Cole Kmet,3/10/1999
Correll Buckhalter,10/6/1978
Kurt Warner,6/22/1971
Stephen Davis,3/1/1974
Mark Sanchez,11/11/1986
DeSean Jackson,12/1/1986
DeAndre Washington,2/22/1993
Travis Prentice,12/8/1976
D'Wayne Bates,12/4/1975
Terrance West,1/28/1991
Mike Vick,6/26/1980
Scott Chandler,7/23/1985
Jordan Todman,2/24/1990
Tony Banks,4/5/1973
Deonte Harty,12/4/1997
Jacoby Jones,7/11/1984
Khalil Herbert,4/21/1998
Kareem Hunt,8/6/1995
Jake Browning,4/11/1996
Devin Singletary,9/3/1997
Alfred Morris,12/12/1988
Brandon Jackson,10/2/1985
Rashard Higgins,10/7/1994
Tai Streets,4/20/1977
Steve Slaton,1/4/1986
Dezmon Briscoe,8/31/1989
Patrick Pass,12/31/1977
Austin Hooper,10/29/1994
Drew Bledsoe,2/14/1972
Alge Crumpler,12/23/1977
Justice Hill,11/14/1997
Rhamondre Stevenson,2/23/1998
Jacoby Brissett,12/11/1992
Devin Duvernay,9/12/1997
Luke Musgrave,9/2/2000
Josh Reynolds,2/16/1995
Devin Funchess,5/21/1994
Riley Cooper,9/9/1987
Richard Huntley,9/18/1972
Darnay Scott,7/7/1972
Jahmyr Gibbs,3/20/2002
Leroy Hoard,5/15/1968
Quincy Enunwa,5/31/1992
Zach Charbonnet,1/8/2001
Santana Moss,6/1/1979
Clinton Portis,9/1/1981
Jackie Battle,10/1/1983
Luther Broughton,11/30/1974
Irving Fryar,9/28/1962
Johnnie Morton,10/7/1971
Christian McCaffrey,6/7/1996
Maurice Morris,12/1/1979
Christine Michael,11/9/1990
Mark Bradley,1/29/1982
Sam Howell,9/16/2000
Karlos Williams,5/4/1993
Taylor Gabriel,2/17/1991
Drew Brees,1/15/1979
Dorial Green-Beckham,4/12/1993
Curtis Conway,1/13/1971
Kenny Golladay,11/3/1993
Johnnie Lee Higgins,9/8/1983
Amon-Ra St. Brown,10/24/1999
Johnny Manziel,12/6/1992
Olabisi Johnson,3/17/1997
Jay Fiedler,12/29/1971
Percy Harvin,5/28/1988
Mario Manningham,5/25/1986
Shawn Jefferson,2/22/1969
Joique Bell,8/4/1986
Sammy Watkins,6/14/1993
Danny Woodhead,1/25/1985
Mack Hollins,9/16/1993
Randy Moss,2/13/1977
Bobby Shaw,4/23/1975
David Givens,8/16/1980
C.J. Fiedorowicz,10/22/1991
Rico Dowdle,6/14/1998
Peyton Hillis,1/21/1986
Derrick Henry,1/4/1994
Denard Robinson,9/22/1990
Shaun McDonald,6/13/1981
Tanner Hudson,11/12/1994
Devontae Booker,5/27/1992
Kent Graham,11/1/1968
Coby Fleener,9/20/1988
Marcus Mariota,10/30/1993
Brett Favre,10/10/1969
Allen Robinson,8/24/1993
Elvis Joseph,8/30/1978
Travis Fulgham,9/13/1995
Rock Cartwright,12/3/1979
Derrick Ward,8/30/1980
Gus Edwards,4/13/1995
Giovani Bernard,11/22/1991
Le'Veon Bell,2/18/1992
Terrell Fletcher,9/14/1973
Cade Otton,4/15/1999
Orleans Darkwa,2/28/1992
Chansi Stuckey,10/4/1983
Alex Erickson,11/6/1992
Cameron Brate,7/3/1991
C.J. Anderson,2/10/1991
Nick Foles,1/20/1989
Laveranues Coles,12/29/1977
Danario Alexander,8/7/1986
Doug Flutie,10/23/1962
Auden Tate,2/3/1997
J.J. Nelson,4/24/1992
Carl Pickens,3/23/1970
Trevor Lawrence,10/6/1999
Garrett Graham,8/4/1986
Clarence Moore,9/24/1982
Bernard Berrian,12/27/1980
Bruce Ellington,8/22/1991
Vick Ballard,7/16/1990
Leon Washington,8/29/1982
Larry Fitzgerald,8/31/1983
J.P. Losman,3/12/1981
Antonio Andrews,8/17/1992
Chris Fuamatu-Ma'afala,3/4/1977
Colt McCoy,9/5/1986
Brent Celek,1/25/1985
Cooper Kupp,6/15/1993
Jake Ferguson,1/18/1999
Marcedes Lewis,5/19/1984
Trent Green,7/9/1970
Bryce Brown,5/14/1991
L.J. Smith,5/13/1980
Kalen Ballage,12/22/1995
C.J. Uzomah,1/14/1993
Brandin Cooks,9/25/1993
Deshaun Watson,9/14/1995
Doug Jolley,1/2/1979
Jace Amaro,6/26/1992
Jimmy Kleinsasser,1/31/1977
Ronald Curry,5/28/1979
BenJarvus Green-Ellis,7/2/1985
Todd Pinkston,4/23/1977
Jeb Putzier,1/20/1979
Chase Claypool,7/7/1998
Aaron Shea,12/5/1976
Erron Kinney,7/28/1977
Crockett Gillmore,11/16/1991
Ernie Conwell,8/17/1972
Jaleel McLaughlin,9/13/2000
Laviska Shenault,10/5/1998
Tatum Bell,3/2/1981
Travis Minor,6/30/1979
Royce Freeman,2/24/1996
Tom Brady,8/3/1977
Cordarrelle Patterson,3/17/1991
Kelvin Benjamin,2/5/1991
Chris Perry,12/27/1981
Desmond Clark,4/20/1977
Joe Flacco,1/16/1985
Baker Mayfield,4/14/1995
Cris Carter,11/25/1965
J.T. O'Sullivan,8/25/1979
Shannon Sharpe,6/26/1968
Ashley Lelie,2/16/1980
Mario Bates,1/16/1973
Johnny Knox,11/3/1986
Devin Aromashodu,5/23/1984
Isaiah Hodgins,10/21/1998
Dallas Goedert,1/3/1995
Jaylen Warren,11/1/1998
Tony Fisher,10/12/1979
Tarik Cohen,7/26/1995
Jermichael Finley,3/26/1987
Brandon Tate,10/5/1987
Patrick Jeffers,2/2/1973
Devery Henderson,3/26/1982
Eddie Lacy,6/2/1990
Zach Ertz,11/10/1990
Romeo Doubs,4/13/2000
O.J. McDuffie,12/2/1969
Phillip Lindsay,7/24/1994
Joey Harrington,10/21/1978
Greg Ward,7/12/1995
Jaron Brown,1/8/1990
Rob Housler,3/17/1988
Kenneth Walker,10/20/2000
Samaje Perine,9/16/1995
Jerheme Urban,11/26/1980
Derrick Blaylock,8/23/1979
Arrelious Benn,9/8/1988
Wali Lundy,9/8/1983
Elijah Moore,3/27/2000
Ron Dayne,3/14/1978
Marlon Mack,3/7/1996
Gardner Minshew,5/16/1996
Dez White,8/23/1979
Steve Breaston,8/20/1983
Dalvin Cook,8/10/1995
Tyler Kroft,10/15/1992
Kenyan Drake,1/26/1994
Deion Branch,7/18/1979
Ja'Marr Chase,3/1/2000
Joseph Fauria,1/16/1990
Chris Simms,8/29/1980
Torrey Smith,1/26/1989
Terry Glenn,7/23/1974
Jonathan Mingo,4/20/2001
Patrick Ramsey,2/14/1979
Antonio Chatman,2/12/1979
Mike Pritchard,10/26/1969
Drew Stanton,5/7/1984
DeAngelo Williams,4/25/1983
Brian Griese,3/18/1975
Mecole Hardman,3/12/1998
Steve Heiden,9/21/1976
Amari Cooper,6/17/1994
Lamar Miller,4/25/1991
Trevor Gaylor,11/3/1977
Kevin Kolb,8/24/1984
Phillip Dorsett,1/5/1993
Ray Rice,1/22/1987
Dalton Schultz,7/11/1996
Theo Riddick,5/4/1991
Vinny Testaverde,11/13/1963
Roland Williams,4/27/1975
Rashod Bateman,11/29/1999
Trevor Siemian,12/26/1991
Teddy Bridgewater,11/10/1992
Fred Lane,9/6/1975
Chad Henne,7/2/1985
Rudi Johnson,10/1/1979
Steve McNair,2/14/1973
Ben Obomanu,10/30/1983
Jerome Simpson,2/4/1986
Isaiah Crowell,1/8/1993
Marc Boerigter,5/4/1978
Nick Chubb,12/27/1995
Arian Foster,8/24/1986
Marquez Valdes-Scantling,10/10/1994
Derrius Thompson,7/5/1977
Tim Rattay,3/15/1977
Bryce Young,7/25/2001
Cole Beasley,4/26/1989
Josh McCown,7/4/1979
Nate Washington,8/28/1983
Gary Barnidge,9/22/1985
Deon Butler,1/4/1986
Antonio Gates,6/18/1980
Josh Palmer,9/22/1999
Trey McBride,11/22/1999
Tim Tebow,8/14/1987
Terrace Marshall,6/9/2000
Peter Warrick,6/19/1977
Dwayne Harris,9/16/1987
Nate Burleson,8/19/1981
Chris Conley,10/25/1992
Ike Hilliard,4/5/1976
Kenneth Gainwell,3/14/1999
Tyler Eifert,9/8/1990
Kenny Stills,4/22/1992
Onterrio Smith,12/8/1980
Jeff Cumberland,5/2/1987
Troy Edwards,4/7/1977
Marquise Goodwin,11/19/1990
Ken Oxendine,10/4/1975
Ladarius Green,5/29/1990
Shane Vereen,5/2/1989
Priest Holmes,10/7/1973
Mike Sims-Walker,11/21/1984
T.J. Duckett,2/17/1981
Visanthe Shiancoe,6/18/1980
Chris Ogbonnaya,5/20/1986
Titus Young,8/21/1989
Daniel Graham,11/16/1978
Trey Palmer,4/2/2001
Taysom Hill,8/23/1990
Davante Adams,12/24/1992
N'Keal Harry,12/17/1997
Rex Burkhead,7/2/1990
David Njoku,7/10/1996
Tashard Choice,11/20/1984
Tyreek Hill,3/1/1994
Dwayne Bowe,9/21/1984
Will Dissly,7/8/1996
Jon Kitna,9/21/1972
Gerald Everett,6/25/1994
Bernard Pierce,5/10/1991
Kenny Bynum,5/29/1974
EJ Manuel,3/19/1990
Mason Rudolph,7/17/1995
Jordan Shipley,12/23/1985
Kelly Campbell,7/23/1980
Vance McDonald,6/13/1990
Dennis Northcutt,12/22/1977
Bobby Wade,2/25/1981
Jacquizz Rodgers,2/6/1990
Torrance Small,9/4/1970
Ted Ginn,4/12/1985
Willis McGahee,10/21/1981
Drew Carter,9/5/1981
Ben Coates,8/16/1969
Mike Gillislee,11/1/1990
Wendell Smallwood,1/20/1994
Zac Stacy,4/9/1991
Darrell Jackson,12/6/1978
Brandon Bennett,2/3/1973
Elijah McGuire,6/1/1994
Matt McGloin,12/2/1989
Jay Ajayi,6/15/1993
Odell Beckham,11/5/1992
Tim Hightower,5/23/1986
Treylon Burks,3/23/2000
Benny Cunningham,7/7/1990
Doug Gabriel,8/27/1980
Joey Galloway,11/20/1971
Troy Hambrick,11/6/1976
James McKnight,6/17/1972
Jerome Bettis,2/16/1972
Jayden Reed,4/28/2000
Willie Snead,10/17/1992
Robert Meachem,9/28/1984
Adam Humphries,6/24/1993
Rishard Matthews,10/12/1989
D.J. Chark,9/23/1996
Anthony Firkser,2/19/1995
Jeremy McDaniel,5/2/1976
Stevan Ridley,1/27/1989
Sammie Coates,3/31/1993
Ben Skowronek,6/27/1997
Ladell Betts,8/27/1979
Kenneth Dixon,1/21/1994
Shonn Greene,8/21/1985
Reuben Droughns,8/21/1978
Jacob Tamme,3/15/1985
Samkon Gado,11/13/1982
Brock Purdy,12/27/1999
Rashee Rice,4/22/2000
Kyle Rudolph,11/9/1989
Charlie Whitehurst,8/6/1982
Jay Cutler,4/29/1983
Zach Hilton,7/2/1980
Lamar Gordon,1/7/1980
Marty Booker,7/31/1976
John Carlson,5/12/1984
Kadarius Toney,1/27/1999
Darren Sproles,6/20/1983
Justin Jefferson,6/16/1999
Josh Doctson,12/3/1992
Kolby Smith,12/15/1984
Donovan Peoples-Jones,2/19/1999
Donovan McNabb,11/25/1976
Joshua Kelley,11/20/1997
Brandon Weeden,10/14/1983
Jackie Harris,1/4/1968
Mike Tomczak,10/23/1962
Ray Lucas,8/6/1972
Miles Austin,6/30/1984
Billy Volek,4/28/1976
Josh Huff,10/14/1991
Latavius Murray,1/18/1990
Peyton Manning,3/24/1976
Boo Williams,6/22/1979
Jonathan Wells,7/21/1979
Charlie Frye,8/28/1981
Breece Hall,5/31/2001
Tyler Thigpen,4/14/1984
Keke Coutee,1/14/1997
J.J. Stokes,10/6/1972
Kendall Wright,11/12/1989
Donald Parham,8/16/1997
Alvin Kamara,7/25/1995
Keenan Allen,4/27/1992
Dawson Knox,11/14/1996
Roydell Williams,3/14/1981
Kendrick Bourne,8/4/1995
Emmanuel Sanders,3/17/1987
Peyton Barber,6/27/1994
Sam LaPorta,1/12/2001
Matt Schaub,6/25/1981
Kevin Boss,1/11/1984
Cody Kessler,5/11/1993
Brandon Gibson,8/13/1987
DeAndre Hopkins,6/6/1992
Jordan Matthews,7/16/1992
Brett Hundley,6/15/1993
Lavelle Hawkins,7/12/1986
Jaylen Samuels,7/20/1996
Antonio Bryant,3/9/1981
Tee Higgins,1/18/1999
Dontrell Hilliard,2/26/1995
Jeremy Hill,10/20/1992
James Conner,5/5/1995
Herman Moore,10/20/1969
Markus Wheaton,2/7/1991
Melvin Gordon,4/13/1993
Jarius Wright,11/25/1989
Derek Anderson,6/15/1983
Mohamed Sanu,8/23/1989
Matt Forte,12/10/1985
Dion Lewis,9/27/1990
Brian Robiskie,12/3/1987
Darnell Autry,6/19/1976
Koren Robinson,3/19/1980
T.J. Yeldon,10/2/1993
Byron Chamberlain,10/17/1971
Chuba Hubbard,6/11/1999
Hunter Renfrow,12/21/1995
Reche Caldwell,3/28/1979
Aidan O'Connell,9/1/1998
Terrell Owens,12/7/1973
Adam Thielen,8/22/1990
J.J. Johnson,4/20/1974
Jason Wright,7/12/1982
Byron Pringle,11/17/1993
Seneca Wallace,8/6/1980
Mychal Rivera,9/8/1990
Tim Dwight,7/13/1975
Albert Connell,5/13/1974
Donald Hayes,7/13/1975
Julio Jones,2/8/1989
Frank Wycheck,10/14/1971
Travis Benjamin,12/29/1989
Carlos Hyde,9/20/1990
Blake Jarwin,7/16/1994
Chad Pennington,6/26/1976
DK Metcalf,12/14/1997
Jacob Hollister,11/18/1993
Dan Marino,9/15/1961
Nick Westbrook-Ikhine,3/21/1997
Mark Brunell,9/17/1970
Joshua Dobbs,1/26/1995
Randy Jordan,6/6/1970
Jerrel Jernigan,6/14/1989
Devon Achane,10/13/2001
Jeremy Kerley,11/8/1988
Eddie Kennison,1/20/1973
Heath Miller,10/22/1982
Justin Fargas,1/25/1980
Victor Cruz,11/11/1986
Jake Locker,6/15/1988
Germane Crowell,9/13/1976
Darnell Mooney,10/29/1997
Seth Roberts,2/22/1991
Felix Jones,5/8/1987
Kevin Jones,8/21/1982
Drew Lock,11/10/1996
Jimmy Garoppolo,11/2/1991
Tony Moeaki,6/8/1987
Leonard Fournette,1/18/1995
Jake Plummer,12/19/1974
Randy McMichael,6/28/1979
Jason Tucker,6/24/1976
Knile Davis,10/5/1991
Santonio Holmes,3/3/1984
Jeffery Wilson,11/16/1995
Jeremy Langford,12/6/1991
Tyrod Taylor,8/3/1989
Troy Aikman,11/21/1966
Ryan Moats,12/17/1982
Jamal Anderson,9/30/1972
Justin Fields,3/5/1999
Hank Baskett,9/4/1982
Jalen Richard,10/15/1993
Tre Mason,8/6/1993
JuJu Smith-Schuster,11/22/1996
